# name	width	height	payload	previous_6y5uv	expected_6y5uv	provenance
lionfish19-c00-f00	160	128	lionfish19-c00-f00.mb19	-	lionfish19-c00-f00.6y5uv	Acorn type 19 (Super Moving Blocks), LionFish19,ae7 SHA256=e4a6539b19a105e80e3171a4753870b184edafded0ee874bf2f470231b661684 chunk=0 frame=0; payload SHA256=3a53d5bb644fa4bf1f019dae4879bc1e48d2999bcd131ff05b2e1dee53998ae6; expected from compiled Decomp19 SHA256=33d1c252f298f91d8a53544fcc360a871bbe22c7ffa571d4f9a413c459a792c3
lionfish19-c00-f01	160	128	lionfish19-c00-f01.mb19	lionfish19-c00-f00.6y5uv	lionfish19-c00-f01.6y5uv	Acorn type 19 (Super Moving Blocks), LionFish19,ae7 SHA256=e4a6539b19a105e80e3171a4753870b184edafded0ee874bf2f470231b661684 chunk=0 frame=1; payload SHA256=881fb4a38c10667636e55a8dbc2cbf4441a772068ee7d4b2b234921c0018282b; expected from compiled Decomp19 SHA256=d5ade29fc76337b8463cb508beda85c5f528a3d85032ab9409277380f1f1b9e2
